Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpRealRet	StdEpRealRet	MaxEpRealRet	MinEpRealRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TotalEnvInteracts	TotalTime
1040	1.1592488	1.221326	5.2411437	0.09499108	1.1592488	1.221326	5.2411437	0.09499108	1.4054146	1.7407795	5.0366945	0.05406379	208199	2549.5749797821045
1060	0.93701535	0.8857415	3.674066	0.07824662	0.93701535	0.8857415	3.674066	0.07824662	1.2736493	0.8974855	2.8634691	0.21931928	212199	2598.8063066005707
1080	1.2767398	1.616125	5.9483457	0.05852386	1.2767398	1.616125	5.9483457	0.05852386	0.76287454	0.92093635	2.7679586	0.08235709	216199	2647.871877193451
1100	1.5959648	1.8112285	5.725535	0.15487954	1.5959648	1.8112285	5.725535	0.15487954	0.6522985	0.5563784	1.7960109	0.09741064	220199	2696.7082974910736
1120	0.6422544	0.57969165	2.3035285	0.09055454	0.6422544	0.57969165	2.3035285	0.09055454	0.804583	0.7288991	2.3256848	0.14901964	224199	2745.6395366191864
1140	1.2699598	1.4234682	5.0934424	0.042176235	1.2699598	1.4234682	5.0934424	0.042176235	0.38288224	0.18506339	0.69313	0.14094724	228199	2794.2329292297363
1160	1.2672392	1.4296247	4.9238243	0.07198338	1.2672392	1.4296247	4.9238243	0.07198338	1.0069555	0.9416735	2.7816188	0.10151751	232199	2842.666913986206
1180	0.79511416	0.7914418	3.2924368	0.122517265	0.79511416	0.7914418	3.2924368	0.122517265	1.2969722	1.1406881	2.9380274	0.0871487	236199	2891.7405478954315
1200	1.0117462	1.4460466	4.6950665	0.029747171	1.0117462	1.4460466	4.6950665	0.029747171	0.330443	0.27249166	0.91445047	0.09425182	240199	2940.7883746623993
1220	1.2926446	1.3985953	5.059495	0.12166419	1.2926446	1.3985953	5.059495	0.12166419	0.31263593	0.17753905	0.641376	0.12878518	244199	2989.997495651245
1240	1.0081395	1.1052333	4.529698	0.057347376	1.0081395	1.1052333	4.529698	0.057347376	1.4050546	1.5658214	4.795472	0.1388898	248199	3039.5500881671906
1260	1.1132486	1.333003	5.2459416	0.08991109	1.1132486	1.333003	5.2459416	0.08991109	0.691462	0.5000738	1.6060292	0.1077228	252199	3089.0445051193237
1280	0.6614104	0.6928641	2.6326804	0.059464987	0.6614104	0.6928641	2.6326804	0.059464987	0.7419335	0.8134364	2.4585154	0.06880461	256199	3138.261743068695
1300	0.9399189	1.1243451	4.238782	0.04502383	0.9399189	1.1243451	4.238782	0.04502383	0.18265091	0.08543172	0.29517728	0.03191304	260199	3187.4171493053436
